% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-5.225875200000e-01, 3.981436e-01, 2.320469e-02
-5.199075840000e-01, 3.920371e-01, 2.198339e-02
-5.172276480000e-01, 4.018075e-01, 2.198339e-02
-5.145477120000e-01, 3.957010e-01, 2.076209e-02
-5.118677760000e-01, 4.030288e-01, 1.831949e-02
-5.091878400000e-01, 4.030288e-01, 2.198339e-02
-5.065079040000e-01, 4.091353e-01, 2.198339e-02
-5.038279680000e-01, 3.920371e-01, 2.320469e-02
-5.011480320000e-01, 3.993649e-01, 2.076209e-02
-4.984680960000e-01, 3.908158e-01, 2.320469e-02
-4.957881600000e-01, 4.018075e-01, 1.954079e-02
-4.931082240000e-01, 4.030288e-01, 2.198339e-02
-4.904282880000e-01, 4.054714e-01, 1.954079e-02
-4.877483520000e-01, 3.895945e-01, 2.076209e-02
-4.850684160000e-01, 3.920371e-01, 2.198339e-02
-4.823884800000e-01, 4.042501e-01, 1.709819e-02
-4.797085440000e-01, 4.115779e-01, 2.076209e-02
-4.770286080000e-01, 4.005862e-01, 2.076209e-02
-4.743486720000e-01, 3.993649e-01, 2.076209e-02
-4.716687360000e-01, 4.079140e-01, 1.676844e+00
-4.689888000000e-01, 4.445530e-01, 3.330484e+00
-4.663088640000e-01, 4.433317e-01, 3.328041e+00
-4.636289280000e-01, 4.653151e-01, 3.326820e+00
-4.609489920000e-01, 4.494382e-01, 3.329262e+00
-4.582690560000e-01, 4.421104e-01, 3.330484e+00
-4.555891200000e-01, 4.482169e-01, 3.325599e+00
-4.529091840000e-01, 4.384465e-01, 3.331705e+00
-4.502292480000e-01, 4.567660e-01, 3.331705e+00
-4.475493120000e-01, 4.555447e-01, 3.329262e+00
-4.448693760000e-01, 4.457743e-01, 3.328041e+00
-4.421894400000e-01, 4.604299e-01, 3.326820e+00
-4.395095040000e-01, 4.506595e-01, 3.329262e+00
-4.368295680000e-01, 4.408891e-01, 3.329262e+00
-4.341496320000e-01, 4.408891e-01, 3.332926e+00
-4.314696960000e-01, 4.506595e-01, 3.331705e+00
-4.287897600000e-01, 4.543234e-01, 3.328041e+00
-4.261098240000e-01, 4.457743e-01, 3.334148e+00
-4.234298880000e-01, 4.457743e-01, 3.332926e+00
-4.207499520000e-01, 4.469956e-01, 3.329262e+00
-4.180700160000e-01, 4.567660e-01, 3.329262e+00
-4.153900800000e-01, 4.518808e-01, 3.329262e+00
-4.127101440000e-01, 4.482169e-01, 3.330484e+00
-4.100302080000e-01, 4.433317e-01, 3.329262e+00
-4.073502720000e-01, 4.494382e-01, 3.331705e+00
-4.046703360000e-01, 4.494382e-01, 3.330484e+00
-4.019904000000e-01, 4.579873e-01, 3.329262e+00
-3.993104640000e-01, 4.469956e-01, 3.330484e+00
-3.966305280000e-01, 4.531021e-01, 3.329262e+00
-3.939505920000e-01, 4.457743e-01, 3.329262e+00
-3.912706560000e-01, 4.433317e-01, 3.329262e+00
-3.885907200000e-01, 4.482169e-01, 3.335369e+00
-3.859107840000e-01, 4.433317e-01, 3.328041e+00
-3.832308480000e-01, 4.457743e-01, 3.329262e+00
-3.805509120000e-01, 4.482169e-01, 3.330484e+00
-3.778709760000e-01, 4.506595e-01, 3.328041e+00
-3.751910400000e-01, 4.531021e-01, 3.330484e+00
-3.725111040000e-01, 4.531021e-01, 3.328041e+00
-3.698311680000e-01, 4.384465e-01, 1.670738e+00
-3.671512320000e-01, 4.030288e-01, 2.198339e-02
-3.644712960000e-01, 4.103566e-01, 2.320469e-02
-3.617913600000e-01, 4.018075e-01, 2.198339e-02
-3.591114240000e-01, 3.895945e-01, 2.076209e-02
-3.564314880000e-01, 4.030288e-01, 2.320469e-02
-3.537515520000e-01, 4.005862e-01, 2.198339e-02
-3.510716160000e-01, 3.981436e-01, 2.076209e-02
-3.483916800000e-01, 4.066927e-01, 2.076209e-02
-3.457117440000e-01, 3.981436e-01, 2.198339e-02
-3.430318080000e-01, 3.969223e-01, 2.198339e-02
-3.403518720000e-01, 4.054714e-01, 2.442599e-02
-3.376719360000e-01, 4.030288e-01, 2.198339e-02
-3.349920000000e-01, 3.981436e-01, 2.076209e-02
-3.323120640000e-01, 4.066927e-01, 2.320469e-02
-3.296321280000e-01, 4.030288e-01, 2.076209e-02
-3.269521920000e-01, 4.042501e-01, 2.198339e-02
-3.242722560000e-01, 4.018075e-01, 2.076209e-02
-3.215923200000e-01, 3.957010e-01, 2.076209e-02
-3.189123840000e-01, 4.042501e-01, 2.076209e-02
-3.162324480000e-01, 4.152418e-01, 2.198339e-02
-3.135525120000e-01, 3.993649e-01, 2.320469e-02
-3.108725760000e-01, 4.018075e-01, 2.076209e-02
-3.081926400000e-01, 4.005862e-01, 2.198339e-02
-3.055127040000e-01, 4.066927e-01, 2.564729e-02
-3.028327680000e-01, 4.127992e-01, 2.076209e-02
-3.001528320000e-01, 4.140205e-01, 2.198339e-02
-2.974728960000e-01, 4.127992e-01, 2.320469e-02
-2.947929600000e-01, 4.018075e-01, 2.076209e-02
-2.921130240000e-01, 3.908158e-01, 1.587689e-02
-2.894330880000e-01, 4.176844e-01, 2.076209e-02
-2.867531520000e-01, 4.030288e-01, 2.198339e-02
-2.840732160000e-01, 3.993649e-01, 2.442599e-02
-2.813932800000e-01, 3.944797e-01, 2.076209e-02
-2.787133440000e-01, 3.969223e-01, 2.076209e-02
-2.760334080000e-01, 3.932584e-01, 2.442599e-02
-2.733534720000e-01, 4.066927e-01, 1.954079e-02
-2.706735360000e-01, 4.250122e-01, 1.676844e+00
-2.679936000000e-01, 4.518808e-01, 3.331705e+00
-2.653136640000e-01, 4.457743e-01, 3.328041e+00
-2.626337280000e-01, 4.445530e-01, 3.332926e+00
-2.599537920000e-01, 4.616512e-01, 3.330484e+00
-2.572738560000e-01, 4.531021e-01, 3.325599e+00
-2.545939200000e-01, 4.567660e-01, 3.330484e+00
-2.519139840000e-01, 4.543234e-01, 3.329262e+00
-2.492340480000e-01, 4.555447e-01, 3.325599e+00
-2.465541120000e-01, 4.433317e-01, 3.332926e+00
-2.438741760000e-01, 4.543234e-01, 3.326820e+00
-2.411942400000e-01, 4.445530e-01, 3.328041e+00
-2.385143040000e-01, 4.506595e-01, 3.334148e+00
-2.358343680000e-01, 4.543234e-01, 3.332926e+00
-2.331544320000e-01, 4.543234e-01, 3.332926e+00
-2.304744960000e-01, 4.494382e-01, 3.328041e+00
-2.277945600000e-01, 4.567660e-01, 3.332926e+00
-2.251146240000e-01, 4.592086e-01, 3.329262e+00
-2.224346880000e-01, 4.592086e-01, 3.328041e+00
-2.197547520000e-01, 4.555447e-01, 3.332926e+00
-2.170748160000e-01, 4.506595e-01, 3.329262e+00
-2.143948800000e-01, 4.433317e-01, 3.334148e+00
-2.117149440000e-01, 4.433317e-01, 3.328041e+00
-2.090350080000e-01, 4.384465e-01, 3.330484e+00
-2.063550720000e-01, 4.494382e-01, 3.332926e+00
-2.036751360000e-01, 4.445530e-01, 3.330484e+00
-2.009952000000e-01, 4.323400e-01, 3.331705e+00
-1.983152640000e-01, 4.494382e-01, 3.329262e+00
-1.956353280000e-01, 4.518808e-01, 3.328041e+00
-1.929553920000e-01, 4.616512e-01, 3.330484e+00
-1.902754560000e-01, 4.469956e-01, 3.325599e+00
-1.875955200000e-01, 4.531021e-01, 3.328041e+00
-1.849155840000e-01, 4.604299e-01, 3.329262e+00
-1.822356480000e-01, 4.457743e-01, 3.329262e+00
-1.795557120000e-01, 4.567660e-01, 3.331705e+00
-1.768757760000e-01, 4.518808e-01, 3.329262e+00
-1.741958400000e-01, 4.433317e-01, 3.330484e+00
-1.715159040000e-01, 4.237909e-01, 1.676844e+00
-1.688359680000e-01, 3.957010e-01, 2.320469e-02
