Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-7.771814400000e-01, 8.927699e-01, 3.330484e+00
-7.745015040000e-01, 8.964338e-01, 3.328041e+00
-7.718215680000e-01, 9.049829e-01, 3.331705e+00
-7.691416320000e-01, 9.062042e-01, 3.334148e+00
-7.664616960000e-01, 8.878848e-01, 3.329262e+00
-7.637817600000e-01, 8.414754e-01, 5.007328e-02
-7.611018240000e-01, 8.023938e-01, 2.320469e-02
-7.584218880000e-01, 8.158281e-01, 2.076209e-02
-7.557419520000e-01, 7.962873e-01, 2.198339e-02
-7.530620160000e-01, 7.877382e-01, 1.954079e-02
-7.503820800000e-01, 7.877382e-01, 2.320469e-02
-7.477021440000e-01, 8.341476e-01, 2.198339e-02
-7.450222080000e-01, 8.158281e-01, 2.198339e-02
-7.423422720000e-01, 7.877382e-01, 2.076209e-02
-7.396623360000e-01, 8.023938e-01, 2.076209e-02
-7.369824000000e-01, 7.816317e-01, 2.198339e-02
-7.343024640000e-01, 8.207133e-01, 1.954079e-02
-7.316225280000e-01, 8.097216e-01, 1.831949e-02
-7.289425920000e-01, 7.975086e-01, 1.954079e-02
-7.262626560000e-01, 8.121642e-01, 2.076209e-02
-7.235827200000e-01, 7.999512e-01, 2.320469e-02
-7.209027840000e-01, 8.011725e-01, 1.954079e-02
-7.182228480000e-01, 7.852956e-01, 2.076209e-02
-7.155429120000e-01, 7.791891e-01, 2.076209e-02
-7.128629760000e-01, 8.023938e-01, 2.198339e-02
-7.101830400000e-01, 8.109429e-01, 2.198339e-02
-7.075031040000e-01, 8.207133e-01, 1.954079e-02
-7.048231680000e-01, 8.060577e-01, 2.076209e-02
-7.021432320000e-01, 8.255985e-01, 2.076209e-02
-6.994632960000e-01, 8.109429e-01, 2.076209e-02
-6.967833600000e-01, 7.938447e-01, 2.076209e-02
-6.941034240000e-01, 7.681974e-01, 2.320469e-02
-6.914234880000e-01, 7.914021e-01, 2.320469e-02
-6.887435520000e-01, 7.828530e-01, 1.954079e-02
-6.860636160000e-01, 7.816317e-01, 2.320469e-02
-6.833836800000e-01, 7.938447e-01, 2.320469e-02
-6.807037440000e-01, 7.865169e-01, 2.076209e-02
-6.780238080000e-01, 8.097216e-01, 2.198339e-02
-6.753438720000e-01, 8.072790e-01, 1.954079e-02
-6.726639360000e-01, 7.791891e-01, 2.320469e-02
-6.699840000000e-01, 7.950660e-01, 2.076209e-02
-6.673040640000e-01, 7.889595e-01, 2.076209e-02
-6.646241280000e-01, 8.634588e-01, 1.676844e+00
-6.619441920000e-01, 8.952125e-01, 3.331705e+00
-6.592642560000e-01, 8.805570e-01, 3.328041e+00
-6.565843200000e-01, 8.829996e-01, 3.330484e+00
