% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-6.50E-02,2.56E-02,3.33E+00
-6.47E-02,2.56E-02,3.33E+00
-6.44E-02,2.56E-02,3.33E+00
-6.42E-02,2.56E-02,3.33E+00
-6.39E-02,2.69E-02,3.33E+00
-6.36E-02,2.69E-02,3.33E+00
-6.33E-02,2.56E-02,3.33E+00
-6.31E-02,2.44E-02,3.33E+00
-6.28E-02,2.56E-02,3.33E+00
-6.25E-02,2.69E-02,3.33E+00
-6.22E-02,2.69E-02,3.33E+00
-6.20E-02,2.56E-02,3.33E+00
-6.17E-02,2.56E-02,3.33E+00
-6.14E-02,2.69E-02,3.33E+00
-6.11E-02,2.69E-02,3.33E+00
-6.09E-02,2.44E-02,3.33E+00
-6.06E-02,2.56E-02,3.33E+00
-6.03E-02,2.56E-02,3.33E+00
-6.00E-02,2.56E-02,3.33E+00
-5.98E-02,2.56E-02,3.33E+00
-5.95E-02,2.56E-02,3.33E+00
-5.92E-02,2.69E-02,3.33E+00
-5.89E-02,2.69E-02,3.33E+00
-5.87E-02,2.56E-02,3.33E+00
-5.84E-02,2.56E-02,3.33E+00
-5.81E-02,2.69E-02,3.33E+00
-5.78E-02,2.69E-02,3.33E+00
-5.76E-02,2.69E-02,3.33E+00
-5.73E-02,2.56E-02,3.33E+00
-5.70E-02,2.56E-02,3.33E+00
-5.67E-02,2.69E-02,3.33E+00
-5.65E-02,2.56E-02,3.33E+00
-5.62E-02,2.44E-02,3.33E+00
-5.59E-02,2.56E-02,3.33E+00
-5.56E-02,2.44E-02,3.33E+00
-5.54E-02,2.69E-02,3.33E+00
-5.51E-02,2.69E-02,3.33E+00
-5.48E-02,2.69E-02,3.33E+00
-5.45E-02,2.56E-02,3.33E+00
-5.43E-02,2.56E-02,3.33E+00
-5.40E-02,2.56E-02,3.33E+00
-5.37E-02,2.56E-02,3.33E+00
-5.34E-02,2.56E-02,3.33E+00
-5.32E-02,2.69E-02,3.33E+00
-5.29E-02,2.56E-02,3.33E+00
-5.26E-02,2.56E-02,3.33E+00
-5.23E-02,2.56E-02,3.33E+00
-5.21E-02,2.56E-02,3.33E+00
-5.18E-02,2.44E-02,3.33E+00
-5.15E-02,2.44E-02,3.33E+00
-5.12E-02,2.56E-02,3.33E+00
-5.10E-02,2.44E-02,3.33E+00
-5.07E-02,2.44E-02,3.33E+00
-5.04E-02,2.56E-02,3.33E+00
-5.01E-02,2.56E-02,3.33E+00
-4.98E-02,2.56E-02,3.33E+00
-4.96E-02,2.56E-02,3.33E+00
-4.93E-02,2.44E-02,3.33E+00
-4.90E-02,2.44E-02,3.33E+00
-4.87E-02,2.56E-02,3.33E+00
-4.85E-02,2.56E-02,3.33E+00
-4.82E-02,2.56E-02,3.33E+00
-4.79E-02,2.44E-02,3.33E+00
-4.76E-02,2.56E-02,3.33E+00
-4.74E-02,2.44E-02,3.33E+00
-4.71E-02,2.44E-02,3.33E+00
-4.68E-02,2.44E-02,3.33E+00
-4.65E-02,2.44E-02,3.33E+00
-4.63E-02,2.56E-02,3.33E+00
-4.60E-02,2.44E-02,3.33E+00
-4.57E-02,2.69E-02,3.33E+00
-4.54E-02,2.56E-02,3.33E+00
-4.52E-02,2.56E-02,3.33E+00
-4.49E-02,2.69E-02,3.33E+00
-4.46E-02,2.56E-02,3.33E+00
-4.43E-02,2.56E-02,3.33E+00
-4.41E-02,2.56E-02,3.33E+00
-4.38E-02,2.81E-02,3.33E+00
-4.35E-02,2.69E-02,3.33E+00
-4.32E-02,2.56E-02,3.33E+00
-4.30E-02,2.56E-02,3.33E+00
-4.27E-02,2.56E-02,3.33E+00
-4.24E-02,2.56E-02,3.33E+00
-4.21E-02,2.56E-02,3.33E+00
-4.19E-02,2.56E-02,3.33E+00
-4.16E-02,2.56E-02,3.33E+00
-4.13E-02,2.69E-02,3.33E+00
-4.10E-02,2.69E-02,3.33E+00
-4.08E-02,2.56E-02,3.33E+00
-4.05E-02,2.56E-02,3.33E+00
-4.02E-02,2.56E-02,3.33E+00
-3.99E-02,2.69E-02,3.33E+00
-3.97E-02,2.69E-02,3.33E+00
-3.94E-02,2.44E-02,3.33E+00
-3.91E-02,2.56E-02,3.33E+00
-3.88E-02,2.69E-02,3.33E+00
-3.86E-02,2.69E-02,3.33E+00
-3.83E-02,2.69E-02,3.33E+00
-3.80E-02,2.56E-02,3.33E+00
-3.77E-02,2.56E-02,3.33E+00
-3.75E-02,2.69E-02,3.33E+00
-3.72E-02,2.56E-02,3.33E+00
-3.69E-02,2.56E-02,3.33E+00
-3.66E-02,2.69E-02,3.33E+00
-3.64E-02,2.56E-02,3.33E+00
-3.61E-02,2.44E-02,3.33E+00
-3.58E-02,2.44E-02,3.33E+00
-3.55E-02,2.56E-02,3.33E+00
-3.53E-02,2.56E-02,3.33E+00
-3.50E-02,2.56E-02,3.33E+00
-3.47E-02,2.32E-02,3.33E+00
